"","MIMU - State/Region Pcode","MIMU - State/Region Name","MIMU - District Pcode","MIMU - District Name","MIMU - Township Pcode","MIMU - Township Name","Conventional households - Number","Conventional households - Male- headed","Conventional households - Female- headed","Conventional households - Female- headed households (%)","Population  in .... - Conventional households","Population  in .... - Institutions","Mean household size","Households consisting of: - 1 person","Households consisting of: - 2 persons","Households consisting of: - 3  persons","Households consisting of: - 4  persons","Households consisting of: - 5  persons","Households consisting of: - 6  persons","Households consisting of: - 7  persons","Households consisting of: - 8  persons","Households consisting of: - 9 and more","Type of housing unit - Total","Type of housing unit - Apartment/ Condominium","Type of housing unit - Bungalow/ Brick house","Type of housing unit - Semi-pacca house","Type of housing unit - Wooden house","Type of housing unit - Bamboo","Type of housing unit - Hut 2 - 3 years","Type of housing unit - Hut 1 year","Type of housing unit - Other","Type of ownership - Total","Type of ownership - Owner","Type of ownership - Renter","Type of ownership - Provided free (individually)","Type of ownership - Government Quarters","Type of ownership - Private Company Quarters","Type of ownership - Other","Type of toilet - Total","Type of toilet - Flush","Type of toilet - Water seal (Improved pit latrine)","Type of toilet - Safe sanitation (%)","Type of toilet - Pit (Traditional pit latrine)","Type of toilet - Bucket (Surface latrine)","Type of toilet - Other","Type of toilet - None","Roof - Total","Roof - Dhani/Theke/ In leaf","Roof - Bamboo","Roof - Wood","Roof - Corrugated sheet","Roof - Tile/Brick/ Concrete","Roof - Other","Walls - Total","Walls - Dhani/Theke/ In leaf","Walls - Bamboo","Walls - Earth","Walls - Wood","Walls - Corrugated sheet","Walls - Tile/Brick/ Concrete","Walls - Other","Floors - Total","Floors - Bamboo","Floors - Earth","Floors - Wood","Floors - Tile/Brick/ Concrete","Floors - Other","Source of lighting - Total","Source of lighting - Electricity","Source of lighting - Kerosene","Source of lighting - Candle","Source of lighting - Battery","Source of lighting - Generator (private)","Source of lighting - Water mill (private)","Source of lighting - Solar system/energy","Source of lighting - Other","Source of drinking water - Total","Source of drinking water - Tap water/ Piped","Source of drinking water - Tube well, borehole","Source of drinking water - Protected well/ Spring","Source of drinking water - Unprotected well/Spring","Source of drinking water - Pool/Pond/ Lake","Source of drinking water - River/stream/ canal","Source of drinking water - Waterfall/ Rain water","Source of drinking water - Bottled water/ Water purifier","Source of drinking water - Tanker/ Truck","Source of drinking water - Other","Source of non-drinking water - Total","Source of non-drinking water - Tap water/ Piped","Source of non-drinking water - Tube well, borehole","Source of non-drinking water - Protected well/ Spring","Source of non-drinking water - Unprotected well/Spring","Source of non-drinking water - Pool/Pond/ Lake","Source of non-drinking water - River/stream/ canal","Source of non-drinking water - Waterfall/ Rain water","Source of non-drinking water - Bottled water/ Water purifier","Source of non-drinking water - Tanker/ Truck","Source of non-drinking water - Other","Type of cooking fuel - Total","Type of cooking fuel - Electricity","Type of cooking fuel - LPG","Type of cooking fuel - Kerosene","Type of cooking fuel - BioGas","Type of cooking fuel - Firewood","Type of cooking fuel - Charcoal","Type of cooking fuel - Coal","Type of cooking fuel - Straw/Grass","Type of cooking fuel - Other","Availability of communication and related amenities - Conventional households","Availability of communication and related amenities - Radio","Availability of communication and related amenities - Television","Availability of communication and related amenities - Land line phone","Availability of communication and related amenities - Mobile phone","Availability of communication and related amenities - Computer","Availability of communication and related amenities - Internet at home","Availability of of transportation items - Conventional households","Availability of of transportation items - Car/Truck/ Van","Availability of of transportation items - Motorcycle/ Moped","Availability of of transportation items - Bicycle","Availability of of transportation items - 4-Wheel tractor","Availability of of transportation items - Canoe/Boat","Availability of of transportation items - Motor boat","Availability of of transportation items - Cart (bullock)"
"2","MMR001","Kachin","MMR001D001","Myitkyina","MMR001001","Myitkyina",52591,36101,16490,31.3551748398015,283865,33739,5.39759654693769,1771,4523,7356,9091,8578,6739,4869,4107,5557,52591,2715,7169,6469,16707,18634,282,125,490,52591,35343,10161,1905,4464,458,260,52591,518,43451,83.6055598866726,8042,149,98,333,52591,5698,182,68,46252,248,143,52591,236,32761,27,5109,133,14123,202,52591,9382,4712,19013,19016,468,52591,26777,102,11498,2020,3591,2220,6041,342,52591,2231,26291,13799,2947,124,1115,119,5395,13,557,52591,3206,28796,15204,2963,216,1361,186,61,5,593,52591,3682,65,2,154,27740,20285,288,18,357,52591,28403,35801,4499,28739,4041,6078,52591,3180,40715,23313,1057,1218,667,6994
"3","MMR001","Kachin","MMR001D001","Myitkyina","MMR001002","Waingmaw",22860,16034,6826,29.8600174978128,118747,6797,5.19453193350831,933,2088,3043,3767,3886,3215,2320,1653,1955,22860,340,1584,2022,4415,13977,216,149,157,22860,19706,1299,703,405,588,159,22860,162,18367,81.0542432195976,2951,136,464,780,22860,6929,74,11,14530,293,1023,22860,194,16932,31,2054,48,3332,269,22860,9637,4144,4823,3806,450,22860,2728,128,9604,739,1426,2580,5506,149,22860,189,2899,9980,4669,25,1086,3097,619,7,289,22860,210,2973,10137,4810,26,1279,3107,18,8,292,22860,446,4,5,45,20763,1473,88,3,33,22860,10051,10541,1416,5880,474,525,22860,545,14414,6696,632,337,236,6171
"4","MMR001","Kachin","MMR001D001","Myitkyina","MMR001003","Injangyang",285,232,53,18.5964912280702,1420,312,4.98245614035088,25,29,36,43,29,45,34,23,21,285,3,0,4,15,258,4,1,0,285,275,2,1,7,0,0,285,0,130,45.6140350877193,116,9,0,30,285,243,0,0,37,1,4,285,1,274,0,7,0,3,0,285,252,8,12,13,0,285,47,1,164,1,4,3,64,1,285,58,0,94,21,2,36,74,0,0,0,285,58,0,86,21,2,41,77,0,0,0,285,0,0,0,0,281,4,0,0,0,285,115,58,5,22,3,1,285,1,105,3,1,3,4,74
"5","MMR001","Kachin","MMR001D001","Myitkyina","MMR001004","Tanai",8528,7050,1478,17.3311444652908,48781,11238,5.72009849906191,214,638,1109,1421,1263,1127,924,750,1082,8528,317,233,395,2725,4618,191,34,15,8528,7578,403,91,430,19,7,8528,197,7289,87.781425891182,900,35,26,81,8528,3080,29,13,4529,9,868,8528,46,6390,7,1173,16,817,79,8528,3970,120,3604,787,47,8528,1397,29,3487,467,1480,33,1615,20,8528,77,4948,1338,1200,17,362,219,272,0,95,8528,77,5160,1235,1211,44,478,229,4,0,90,8528,19,1,0,3,7627,840,29,0,9,8528,3516,4406,444,2556,176,409,8528,147,5309,2397,132,318,595,1686
"6","MMR001","Kachin","MMR001D001","Myitkyina","MMR001005","Chipwi",3306,2672,634,19.1772534785239,19170,869,5.79854809437387,118,236,357,442,486,462,374,351,480,3306,109,63,90,2318,708,15,1,2,3306,3023,163,24,83,12,1,3306,24,1354,41.6817906836056,894,497,186,351,3306,578,49,7,1366,1258,48,3306,12,874,10,2165,8,236,1,3306,559,212,2079,442,14,3306,1117,4,1261,6,8,653,8,249,3306,137,2,14,8,6,232,2888,16,0,3,3306,134,1,1,7,7,233,2920,0,0,3,3306,121,1,0,10,3137,30,1,0,6,3306,709,1431,64,811,58,10,3306,225,1737,49,53,3,2,131
"7","MMR001","Kachin","MMR001D001","Myitkyina","MMR001006","Tsawlaw",1073,895,178,16.5890027958993,6499,19,6.05684995340168,44,73,88,132,144,131,132,142,187,1073,2,1,1,561,481,1,0,26,1073,1048,3,6,7,7,2,1073,4,257,24.3243243243243,567,91,64,90,1073,494,71,81,319,76,32,1073,3,545,2,516,3,2,2,1073,562,10,482,10,9,1073,152,8,232,2,32,531,11,105,1073,142,0,1,0,2,14,913,0,0,1,1073,142,0,1,0,2,14,913,0,0,1,1073,3,0,1,0,1067,2,0,0,0,1073,390,253,2,34,8,1,1073,5,494,11,7,0,0,481
"8","MMR001","Kachin","MMR001D002","Mohnyin","MMR001007","Mohnyin",39622,27431,12191,30.7682600575438,195143,14149,4.92511735904296,1777,3726,5793,7541,7058,5287,3419,2310,2711,39622,842,2460,2645,18143,14978,299,78,177,39622,35525,1685,900,1330,101,81,39622,426,36914,94.2405734188077,1920,27,116,219,39622,9740,60,33,29292,136,361,39622,151,25790,35,8652,48,4829,117,39622,7412,1138,26310,4541,221,39622,11877,155,10618,1998,5662,668,8330,314,39622,1778,15190,15890,4644,15,305,16,810,2,972,39622,2081,15856,15556,4603,98,418,11,27,1,971,39622,1919,4,5,13,31885,5239,166,4,387,39622,20119,26357,2485,15827,1030,1476,39622,984,28691,23027,2797,625,357,15459
"9","MMR001","Kachin","MMR001D002","Mohnyin","MMR001008","Mogaung",24898,17611,7287,29.2674110370311,126795,5813,5.09257771708571,1026,2265,3503,4532,4342,3374,2320,1614,1922,24898,686,1675,1743,10308,10234,107,37,108,24898,22110,1021,429,1216,71,51,24898,103,22813,92.0395212466865,1811,22,41,108,24898,8324,28,14,16398,65,69,24898,107,17809,7,3606,33,3322,14,24898,8900,494,12910,2460,134,24898,10817,33,7050,519,2600,418,3361,100,24898,691,9504,8471,4188,102,115,118,1519,5,185,24898,1012,10582,8313,4324,117,191,132,48,0,179,24898,2015,5,1,15,20325,2326,91,1,119,24898,10177,15893,1814,9016,594,999,24898,618,16992,14340,1454,416,206,9985
"10","MMR001","Kachin","MMR001D002","Mohnyin","MMR001009","Hpakant",36632,31072,5560,15.1779864599257,169498,162210,4.62704739025988,1926,4045,6477,7113,6100,4263,2866,2411,1431,36632,207,501,1339,19486,13817,461,146,675,36632,29972,4550,911,386,525,288,36632,642,31015,86.4189779427823,4181,131,131,532,36632,6859,35,48,29135,34,521,36632,216,23637,34,10079,356,1626,684,36632,5735,661,27664,2238,334,36632,5346,60,7530,1129,16254,532,5567,214,36632,5884,2314,10122,4614,1084,1227,3263,7769,94,261,36632,9414,2966,12397,4804,1686,1370,3603,64,73,255,36632,275,6,2,19,15624,20294,310,1,101,36632,11684,24427,2567,16787,1009,733,36632,2450,27472,2510,560,268,199,3427
"11","MMR001","Kachin","MMR001D003","Bhamo","MMR001010","Bhamo",24161,16995,7166,29.6593684036257,118313,17564,4.89685857373453,916,2187,3689,4847,4473,3208,2000,1329,1512,24161,906,1754,2044,10263,8801,186,59,148,24161,20285,1683,759,1322,42,70,24161,280,21535,90.2901369976408,1669,25,112,540,24161,4725,40,18,19217,126,35,24161,98,14241,17,5919,43,3776,67,24161,3788,1915,13865,4438,155,24161,9917,71,8280,595,1008,40,4183,67,24161,191,14790,2181,2084,6,1080,2,3659,54,114,24161,379,17797,2514,2199,28,1111,1,19,0,113,24161,3788,7,0,8,16718,3501,62,0,77,24161,12417,16793,1372,9820,1012,1198,24161,1052,18593,9234,2630,3529,2265,5974
