"","Country","Year","Variable","Source","Value","Unit"
"1","MYANMAR",2013,"ARABLE LAND","FAO",10772,"000 Ha"
"2","MYANMAR",2012,"ARABLE LAND","FAO",10751,"000 Ha"
"3","MYANMAR",2011,"ARABLE LAND","FAO",10786,"000 Ha"
"4","MYANMAR",2010,"ARABLE LAND","FAO",10811,"000 Ha"
"5","MYANMAR",2009,"ARABLE LAND","FAO",10794,"000 Ha"
"6","MYANMAR",2008,"ARABLE LAND","FAO",10694,"000 Ha"
"7","MYANMAR",2007,"ARABLE LAND","FAO",10577,"000 Ha"
"8","MYANMAR",2006,"ARABLE LAND","FAO",10336,"000 Ha"
"9","MYANMAR",2005,"ARABLE LAND","FAO",10059,"000 Ha"
"10","MYANMAR",2004,"ARABLE LAND","FAO",9912,"000 Ha"
"11","MYANMAR",2003,"ARABLE LAND","FAO",9851,"000 Ha"
"12","MYANMAR",2002,"ARABLE LAND","FAO",9862,"000 Ha"
"13","MYANMAR",2001,"ARABLE LAND","FAO",9990,"000 Ha"
"14","MYANMAR",2000,"ARABLE LAND","FAO",9909,"000 Ha"
"15","MYANMAR",1999,"ARABLE LAND","FAO",9690,"000 Ha"
"16","MYANMAR",1998,"ARABLE LAND","FAO",9556,"000 Ha"
"17","MYANMAR",1997,"ARABLE LAND","FAO",9559,"000 Ha"
"18","MYANMAR",1996,"ARABLE LAND","FAO",9543,"000 Ha"
"19","MYANMAR",1995,"ARABLE LAND","FAO",9540,"000 Ha"
"20","MYANMAR",1994,"ARABLE LAND","FAO",9534,"000 Ha"
"21","MYANMAR",1993,"ARABLE LAND","FAO",9579,"000 Ha"
"22","MYANMAR",1992,"ARABLE LAND","FAO",9534,"000 Ha"
"23","MYANMAR",1991,"ARABLE LAND","FAO",9554,"000 Ha"
"24","MYANMAR",1990,"ARABLE LAND","FAO",9567,"000 Ha"
"25","MYANMAR",1989,"ARABLE LAND","FAO",9538,"000 Ha"
"26","MYANMAR",1988,"ARABLE LAND","FAO",9552,"000 Ha"
"27","MYANMAR",1987,"ARABLE LAND","FAO",9574,"000 Ha"
"28","MYANMAR",1986,"ARABLE LAND","FAO",9596,"000 Ha"
"29","MYANMAR",1985,"ARABLE LAND","FAO",9593,"000 Ha"
"30","MYANMAR",1984,"ARABLE LAND","FAO",9591,"000 Ha"
"31","MYANMAR",1983,"ARABLE LAND","FAO",9613,"000 Ha"
"32","MYANMAR",1982,"ARABLE LAND","FAO",9620,"000 Ha"
"33","MYANMAR",1981,"ARABLE LAND","FAO",9605,"000 Ha"
"34","MYANMAR",1980,"ARABLE LAND","FAO",9573,"000 Ha"
"35","MYANMAR",1979,"ARABLE LAND","FAO",9567,"000 Ha"
"36","MYANMAR",1978,"ARABLE LAND","FAO",9558,"000 Ha"
"37","MYANMAR",1977,"ARABLE LAND","FAO",9550,"000 Ha"
"38","MYANMAR",1976,"ARABLE LAND","FAO",9518,"000 Ha"
"39","MYANMAR",1975,"ARABLE LAND","FAO",9505,"000 Ha"
"40","MYANMAR",1974,"ARABLE LAND","FAO",9494,"000 Ha"
"41","MYANMAR",1973,"ARABLE LAND","FAO",9485,"000 Ha"
"42","MYANMAR",1972,"ARABLE LAND","FAO",9970,"000 Ha"
"43","MYANMAR",1971,"ARABLE LAND","FAO",9970,"000 Ha"
"44","MYANMAR",1970,"ARABLE LAND","FAO",9970,"000 Ha"
"45","MYANMAR",1969,"ARABLE LAND","FAO",9950,"000 Ha"
"46","MYANMAR",1968,"ARABLE LAND","FAO",9940,"000 Ha"
"47","MYANMAR",1967,"ARABLE LAND","FAO",9940,"000 Ha"
